Title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
The Fighter Pilot,"$82,879,386",-,-,"$82,879,386",100%
"Big Mommas: Like Father, Like Son","$82,686,066","$37,915,414",45.90%,"$44,770,652",54.10%
Sinister,"$82,515,113","$48,086,903",58.30%,"$34,428,210",41.70%
Act of Valor,"$82,497,035","$70,012,847",84.90%,"$12,484,188",15.10%
Hitman: Agent 47,"$82,347,656","$22,467,450",27.30%,"$59,880,206",72.70%
Tiny Times 3.0,"$82,320,000",-,-,"$82,320,000",100%
Blades of Blood 2010 Re-release,"$82,177,196",-,-,"$82,177,196",100%
Miracle in Cell No. 7,"$82,101,723",-,-,"$82,101,723",100%
Abduction,"$82,087,155","$28,087,155",34.20%,"$54,000,000",65.80%
Ouija: Origin of Evil,"$81,705,746","$35,144,505",43%,"$46,561,241",57%
One Piece: Stampede,"$81,562,741","$1,298,528",1.60%,"$80,264,213",98.40%
Frankenweenie,"$81,491,068","$35,291,068",43.30%,"$46,200,000",56.70%
Wolf Warrior,"$81,411,331",-,-,"$81,411,331",100%
Gone with the Bullets,"$81,387,479",-,-,"$81,387,479",100%
Tinker Tailor Soldier Spy,"$81,244,605","$24,149,393",29.70%,"$57,095,212",70.30%
Edge of Darkness,"$81,126,522","$43,313,890",53.40%,"$37,812,632",46.60%
iPartment the Movie,"$81,096,321",-,-,"$81,096,321",100%
Underworld: Blood Wars,"$81,093,313","$30,353,973",37.40%,"$50,739,340",62.60%
Puss in Boots: The Last Wish,"$80,927,387","$38,678,920",47.80%,"$42,248,467",52.20%
Doraemon the Movie: Nobita's Treasure Island,"$80,920,916",-,-,"$80,920,916",100%
A Dog's Way Home,"$80,708,134","$42,004,346",52%,"$38,703,788",48%
Go Away Mr. Tumor,"$80,606,893","$286,639",0.40%,"$80,320,254",99.60%
Vampires Suck,"$80,547,866","$36,661,504",45.50%,"$43,886,362",54.50%
Caught in Time,"$80,543,319",-,-,"$80,543,319",100%
Den of Thieves,"$80,509,622","$44,947,622",55.80%,"$35,562,000",44.20%
Jackass Forever,"$80,484,161","$57,743,451",71.70%,"$22,740,710",28.30%
Muppets Most Wanted,"$80,383,113","$51,183,113",63.70%,"$29,200,000",36.30%
Hereditary,"$80,200,936","$44,069,456",54.90%,"$36,131,480",45.10%
The Wedding Ringer,"$79,799,880","$64,460,211",80.80%,"$15,339,669",19.20%
The Grey,"$79,781,695","$51,580,236",64.70%,"$28,201,459",35.30%
Letters to Juliet,"$79,293,444","$53,032,453",66.90%,"$26,260,991",33.10%
Paradox,"$79,226,860",-,-,"$79,226,860",100%
Manchester by the Sea,"$78,988,148","$47,695,371",60.40%,"$31,292,777",39.60%
Lady Bird,"$78,965,611","$48,958,273",62%,"$30,007,338",38%
Paranormal Activity: The Ghost Dimension,"$78,903,124","$18,300,124",23.20%,"$60,603,000",76.80%
A Dog's Journey,"$78,870,908","$22,782,371",28.90%,"$56,088,537",71.10%
The Boss,"$78,844,582","$63,285,885",80.30%,"$15,558,697",19.70%
Code Blue: The Movie,"$78,778,562",-,-,"$78,778,562",100%
Spanish Affair,"$78,768,613",-,-,"$78,768,613",100%
The Attorney,"$78,547,586","$557,236",0.70%,"$77,990,350",99.30%
The Family,"$78,418,811","$36,918,811",47.10%,"$41,500,000",52.90%
Scary Movie V,"$78,378,744","$32,015,787",40.80%,"$46,362,957",59.20%
R.I.P.D.,"$78,324,220","$33,618,855",42.90%,"$44,705,365",57.10%
Priest,"$78,309,505","$29,137,000",37.20%,"$49,172,505",62.80%
If I Stay,"$78,274,843","$50,474,843",64.50%,"$27,800,000",35.50%
Boonie Bears: The Wild Life,"$78,132,231",-,-,"$78,132,231",100%
Tag,"$78,130,625","$54,730,625",70.10%,"$23,400,000",29.90%
Head Full of Honey,"$78,127,384",-,-,"$78,127,384",100%
The Left Ear,"$78,015,473",-,-,"$78,015,473",100%
Shin Godzilla,"$77,947,607","$1,918,403",2.50%,"$76,029,204",97.50%
Tiny Times 4.0,"$77,750,000",-,-,"$77,750,000",100%
Tiny Times,"$77,717,014","$23,462",<0.1%,"$77,693,552",100%
Suck Me Shakespeer,"$77,676,735",-,-,"$77,676,735",100%
The Back-up Plan,"$77,477,008","$37,490,007",48.40%,"$39,987,001",51.60%
Candyman,"$77,411,570","$61,186,570",79%,"$16,225,000",21%
Diary of a Wimpy Kid: Dog Days,"$77,229,695","$49,008,662",63.50%,"$28,221,033",36.50%
Fantastica: A Boonie Bears Adventure,"$77,151,096",-,-,"$77,151,096",100%
Mike and Dave Need Wedding Dates,"$77,068,246","$46,009,673",59.70%,"$31,058,573",40.30%
The Forever Purge,"$76,994,245","$44,539,245",57.80%,"$32,455,000",42.20%
Drive,"$76,976,666","$35,061,555",45.50%,"$41,915,111",54.50%
"I, Frankenstein","$76,801,179","$19,075,290",24.80%,"$57,725,889",75.20%
Sanju,"$76,693,052","$7,909,317",10.30%,"$68,783,735",89.70%
The Book Thief,"$76,586,316","$21,488,481",28.10%,"$55,097,835",71.90%
Cold Pursuit,"$76,419,755","$32,138,862",42.10%,"$44,280,893",57.90%
The Ides of March,"$76,338,111","$40,962,534",53.70%,"$35,375,577",46.30%
Kubo and the Two Strings,"$76,249,438","$48,023,088",63%,"$28,226,350",37%
Diary of a Wimpy Kid,"$76,196,538","$64,003,625",84%,"$12,192,913",16%
The Mechanic,"$76,130,093","$29,121,498",38.30%,"$47,008,595",61.70%
If You Are the One 2,"$76,085,443","$426,894",0.60%,"$75,658,549",99.40%
Vice,"$76,073,488","$47,836,282",62.90%,"$28,237,206",37.10%
West Side Story,"$76,016,171","$38,530,322",50.70%,"$37,485,849",49.30%
Widows,"$75,984,700","$42,402,632",55.80%,"$33,582,068",44.20%
Quo vado?,"$75,878,701",-,-,"$75,878,701",100%
Sicario: Day of the Soldado,"$75,837,743","$50,072,235",66%,"$25,765,508",34%
Cats,"$75,558,925","$27,166,770",36%,"$48,392,155",64%
Bajrangi Bhaijaan,"$75,547,184","$8,178,001",10.80%,"$67,369,183",89.20%
Avatar 2022  Re-release,"$75,520,575","$24,714,024",32.70%,"$50,806,551",67.30%
Searching,"$75,462,037","$26,020,957",34.50%,"$49,441,080",65.50%
The Change-Up,"$75,450,437","$37,081,475",49.10%,"$38,368,962",50.90%
Suzume no tojimari,"$75,349,599",-,-,"$75,349,599",100%
The Spy Who Dumped Me,"$75,320,680","$33,562,069",44.60%,"$41,758,611",55.40%
1921,"$75,159,828",-,-,"$75,159,828",100%
Larry Crowne,"$75,055,070","$35,608,245",47.40%,"$39,446,825",52.60%
Easy A,"$75,026,216","$58,401,464",77.80%,"$16,624,752",22.20%
Animal World,"$74,922,830",-,-,"$74,922,830",100%
Boo! A Madea Halloween,"$74,827,344","$73,206,343",97.80%,"$1,621,001",2.20%
A Madea Family Funeral,"$74,747,725","$73,257,045",98%,"$1,490,680",2%
Crimson Peak,"$74,679,822","$31,090,320",41.60%,"$43,589,502",58.40%
Escape from Planet Earth,"$74,597,643","$57,012,977",76.40%,"$17,584,666",23.60%
Thermae Romae,"$74,285,251",-,-,"$74,285,251",100%
Hubble,"$74,249,729","$52,522,904",70.70%,"$21,726,825",29.30%
One Piece Film Z,"$74,223,861",-,-,"$74,223,861",100%
August: Osage County,"$74,188,937","$37,738,810",50.90%,"$36,450,127",49.10%
Miracles from Heaven,"$73,983,003","$61,705,123",83.40%,"$12,277,880",16.60%
Charlie's Angels,"$73,279,888","$17,803,077",24.30%,"$55,476,811",75.70%
War Room,"$73,267,874","$67,790,117",92.50%,"$5,477,757",7.50%
To Rome with Love,"$73,244,881","$16,685,867",22.80%,"$56,559,014",77.20%
Here Comes the Boom,"$73,100,172","$45,290,318",62%,"$27,809,854",38%
My Old Classmate,"$73,052,128",-,-,"$73,052,128",100%
Bayside Shakedown the Final,"$72,867,395",-,-,"$72,867,395",100%
The Best Man Holiday,"$72,835,710","$70,525,195",96.80%,"$2,310,515",3.20%
The Bélier Family,"$72,751,538",-,-,"$72,751,538",100%
Detective Conan: The Bride of Halloween,"$72,653,401",-,-,"$72,653,401",100%
The Transporter Refueled,"$72,629,670","$16,029,670",22.10%,"$56,600,000",77.90%
Diary of a Wimpy Kid: Rodrick Rules,"$72,526,996","$52,698,535",72.70%,"$19,828,461",27.30%
Amazing China,"$72,506,343",-,-,"$72,506,343",100%
Doctor Sleep,"$72,381,712","$31,581,712",43.60%,"$40,800,000",56.40%
Second Act,"$72,282,227","$39,282,227",54.30%,"$33,000,000",45.70%
What Men Want,"$72,216,294","$54,611,903",75.60%,"$17,604,391",24.40%
Interstellar 2021 Re-release,"$72,149,134",-,-,"$72,149,134",100%
Run All Night,"$71,561,644","$26,461,644",37%,"$45,100,000",63%
Brick Mansions,"$71,416,730","$20,396,829",28.60%,"$51,019,901",71.40%
Pokémon: Zoroark: Master of Illusions,"$71,143,529",-,-,"$71,143,529",100%
The Counselor,"$71,009,334","$16,973,715",23.90%,"$54,035,619",76.10%
Son of God,"$70,829,270","$59,700,064",84.30%,"$11,129,206",15.70%
I Am Not Madame Bovary,"$70,826,207","$436,798",0.60%,"$70,389,409",99.40%
A Turtle's Tale: Sammy's Adventures,"$70,627,617",-,-,"$70,627,617",100%
Spirited Away 2018 Re-release,"$70,186,029","$1,175,067",1.70%,"$69,010,962",98.30%
Think Like a Man Too,"$70,181,428","$65,182,182",92.90%,"$4,999,246",7.10%
See You Tomorrow,"$70,065,569",-,-,"$70,065,569",100%
Hitman's Wife's Bodyguard,"$70,060,492","$38,014,727",54.30%,"$32,045,765",45.70%
Mulan,"$69,965,374",-,-,"$69,965,374",100%
The Cabin in the Woods,"$69,935,600","$42,073,277",60.20%,"$27,862,323",39.80%
Sole a catinelle,"$69,903,094",-,-,"$69,903,094",100%
The Dilemma,"$69,721,966","$48,475,290",69.50%,"$21,246,676",30.50%
The Northman,"$69,633,110","$34,233,110",49.20%,"$35,400,000",50.80%
The Menu,"$69,562,004","$34,774,603",50%,"$34,787,401",50%
Exit,"$69,501,772","$470,699",0.70%,"$69,031,073",99.30%
After,"$69,497,587","$12,138,565",17.50%,"$57,359,022",82.50%
The Last Exorcism,"$69,432,527","$41,034,350",59.10%,"$28,398,177",40.90%
Playing with Fire,"$69,412,425","$44,451,847",64%,"$24,960,578",36%
13 Hours,"$69,411,370","$52,853,219",76.10%,"$16,558,151",23.90%
Finding Nemo 2012 3D Release,"$69,328,283","$41,128,283",59.30%,"$28,200,000",40.70%
Takers,"$69,055,695","$57,744,720",83.60%,"$11,310,975",16.40%
Anna Karenina,"$68,929,150","$12,816,367",18.60%,"$56,112,783",81.40%
Bestseller,"$68,813,389",-,-,"$68,813,389",100%
Running Man,"$68,782,475","$310,978",0.50%,"$68,471,497",99.50%
