Title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
Spirit Untamed,"$42,717,215","$17,716,215",41.50%,"$25,001,000",58.50%
Peninsula,"$42,698,327","$1,231,407",2.90%,"$41,466,920",97.10%
Almost Christmas,"$42,580,920","$42,158,780",99%,"$422,140",1%
Thermae Romae II,"$42,473,163",-,-,"$42,473,163",100%
Love the Coopers,"$42,426,912","$26,302,731",62%,"$16,124,181",38%
My Name Is Khan,"$42,345,360","$4,018,771",9.50%,"$38,326,589",90.50%
Loving Vincent,"$42,187,665","$6,735,118",16%,"$35,452,547",84%
The Throne,"$42,165,755",-,-,"$42,165,755",100%
Monster Hunter,"$42,145,959","$15,162,470",36%,"$26,983,489",64%
Long Day's Journey Into Night,"$42,140,994","$521,365",1.20%,"$41,619,629",98.80%
Jobs,"$42,128,352","$16,131,410",38.30%,"$25,996,942",61.70%
Going the Distance,"$42,059,111","$17,804,299",42.30%,"$24,254,812",57.70%
Bang Bang,"$42,045,981","$2,546,172",6.10%,"$39,499,809",93.90%
Detective Conan: The Sniper from Another Dimension,"$42,028,116",-,-,"$42,028,116",100%
Mary and the Witch's Flower,"$41,978,431","$2,418,404",5.80%,"$39,560,027",94.20%
Resident Evil: Welcome to Raccoon City,"$41,914,915","$17,000,612",40.60%,"$24,914,303",59.40%
Rurouni Kenshin: The Legend Ends,"$41,900,000",-,-,"$41,900,000",100%
"As Above, So Below","$41,898,409","$21,321,100",50.90%,"$20,577,309",49.10%
Call Me by Your Name,"$41,887,595","$18,095,701",43.20%,"$23,791,894",56.80%
The Guilt Trip,"$41,863,726","$37,134,215",88.70%,"$4,729,511",11.30%
No Man's Land,"$41,807,712",-,-,"$41,807,712",100%
T2 Trainspotting,"$41,681,746","$2,402,004",5.80%,"$39,279,742",94.20%
Overlord,"$41,657,844","$21,704,844",52.10%,"$19,953,000",47.90%
Born to Be Wild,"$41,644,475","$25,978,556",62.40%,"$15,665,919",37.60%
Safe,"$41,564,670","$17,142,080",41.20%,"$24,422,590",58.80%
Paws of Fury: The Legend of Hank,"$41,511,542","$17,811,382",42.90%,"$23,700,160",57.10%
The Great Battle,"$41,509,280","$472,166",1.10%,"$41,037,114",98.90%
Fighting with My Family,"$41,503,392","$22,958,886",55.30%,"$18,544,506",44.70%
Lupin III vs. Detective Conan: The Movie,"$41,397,727",-,-,"$41,397,727",100%
The Lady in the Van,"$41,387,687","$10,021,175",24.20%,"$31,366,512",75.80%
Shark Night,"$41,363,927","$18,877,153",45.60%,"$22,486,774",54.40%
Ricki and the Flash,"$41,325,328","$26,822,144",64.90%,"$14,503,184",35.10%
This Is Where I Leave You,"$41,296,320","$34,296,320",83%,"$7,000,000",17%
The Darkest Minds,"$41,142,379","$12,695,691",30.90%,"$28,446,688",69.10%
50/50,"$41,097,853","$35,014,192",85.20%,"$6,083,661",14.80%
Fist Fight,"$41,087,017","$32,187,017",78.30%,"$8,900,000",21.70%
Nodame Cantabile: The Movie II 2010 Re-release,"$41,054,604",-,-,"$41,054,604",100%
"Lost, Found","$41,043,552",-,-,"$41,043,552",100%
Dredd,"$41,037,742","$13,414,714",32.70%,"$27,623,028",67.30%
Fright Night,"$41,002,607","$18,302,607",44.60%,"$22,700,000",55.40%
La vérité si je mens! 3,"$40,928,635",-,-,"$40,928,635",100%
Always: Sunset on Third Street '64,"$40,923,305",-,-,"$40,923,305",100%
Drive Angry,"$40,909,909","$10,721,033",26.20%,"$30,188,876",73.80%
Underwater,"$40,882,928","$17,291,078",42.30%,"$23,591,850",57.70%
30 Minutes or Less,"$40,662,632","$37,053,924",91.10%,"$3,608,708",8.90%
The Circle,"$40,656,399","$20,497,844",50.40%,"$20,158,555",49.60%
Spiral,"$40,618,920","$23,216,862",57.20%,"$17,402,058",42.80%
Spanish Affair 2,"$40,591,862",-,-,"$40,591,862",100%
Gantz,"$40,568,961",-,-,"$40,568,961",100%
The Roommate,"$40,492,652","$37,300,000",92.10%,"$3,192,652",7.90%
Holmes & Watson,"$40,466,970","$30,573,626",75.60%,"$9,893,344",24.40%
The Witch,"$40,423,945","$25,138,705",62.20%,"$15,285,240",37.80%
Masquerade Hotel,"$40,396,244",-,-,"$40,396,244",100%
Carol,"$40,272,135","$12,711,491",31.60%,"$27,560,644",68.40%
Yolki 3,"$40,267,368",-,-,"$40,267,368",100%
SP: The Motion Picture II,"$40,255,101",-,-,"$40,255,101",100%
Boonie Bears: To the Rescue,"$40,163,675",-,-,"$40,163,675",100%
Diary of a Wimpy Kid: The Long Haul,"$40,140,972","$20,738,724",51.70%,"$19,402,248",48.30%
The Wild Life,"$40,075,446","$8,005,586",20%,"$32,069,860",80%
Snake Eyes,"$40,064,325","$28,264,325",70.50%,"$11,800,000",29.50%
Northern Limit Line,"$40,034,677","$337,907",0.80%,"$39,696,770",99.20%
Dream House,"$39,984,400","$21,302,340",53.30%,"$18,682,060",46.70%
Love O2O,"$39,969,537",-,-,"$39,969,537",100%
Brotherhood of Blades 2,"$39,966,092","$14,204",<0.1%,"$39,951,888",100%
Bloodshot,"$39,861,118","$12,561,824",31.50%,"$27,299,294",68.50%
Monte Carlo,"$39,782,683","$23,186,769",58.30%,"$16,595,914",41.70%
Eiga Kaibutsukun,"$39,766,344",-,-,"$39,766,344",100%
The Last Wish,"$39,756,292",-,-,"$39,756,292",100%
Midnight Runners,"$39,730,433",-,-,"$39,730,433",100%
Tokyo Revengers,"$39,714,073",-,-,"$39,714,073",100%
The Forest,"$39,712,000","$26,594,261",67%,"$13,117,739",33%
SP: The Motion Picture I,"$39,674,739",-,-,"$39,674,739",100%
The November Man,"$39,661,919","$25,018,119",63.10%,"$14,643,800",36.90%
Nightmare Alley,"$39,629,195","$11,338,107",28.60%,"$28,291,088",71.40%
Intimate Strangers,"$39,576,060",-,-,"$39,576,060",100%
Thugs of Hindostan,"$39,570,044","$1,449,848",3.70%,"$38,120,196",96.30%
Recep Ivedik 4,"$39,477,906",-,-,"$39,477,906",100%
Nomadland,"$39,458,207","$3,700,000",9.40%,"$35,758,207",90.60%
Don Jon,"$39,439,355","$24,477,704",62.10%,"$14,961,651",37.90%
Sin City: A Dame to Kill For,"$39,407,616","$13,757,804",34.90%,"$25,649,812",65.10%
King Richard,"$39,359,895","$15,129,285",38.40%,"$24,230,610",61.60%
Uri: The Surgical Strike,"$39,346,577","$4,186,168",10.60%,"$35,160,409",89.40%
The Gambler,"$39,280,992","$33,680,992",85.70%,"$5,600,000",14.30%
Mars Needs Moms,"$39,233,678","$21,392,758",54.50%,"$17,840,920",45.50%
Absolutely Fabulous: The Movie,"$39,219,109","$4,772,155",12.20%,"$34,446,954",87.80%
My Mom Is a Character 2,"$39,195,565",-,-,"$39,195,565",100%
Sink or Swim,"$39,193,850",-,-,"$39,193,850",100%
Samba,"$39,178,695","$151,530",0.40%,"$39,027,165",99.60%
Show Dogs,"$39,156,854","$17,857,020",45.60%,"$21,299,834",54.40%
Women Who Flirt,"$39,156,132","$375,495",1%,"$38,780,637",99%
Masterpiece Mystery: Sherlock: The Abominable Bride,"$39,139,204",-,-,"$39,139,204",100%
Ex-Files 2: The Backup Strikes Back,"$39,108,291",-,-,"$39,108,291",100%
Believer,"$39,047,153","$365,639",0.90%,"$38,681,514",99.10%
The Crown Jewels,"$39,000,000",-,-,"$39,000,000",100%
Forbidden Empire 2014 Re-release,"$38,885,962",-,-,"$38,885,962",100%
The Spy Gone North,"$38,844,509","$500,803",1.30%,"$38,343,706",98.70%
Criminal,"$38,803,993","$14,708,696",37.90%,"$24,095,297",62.10%
Antoine and Sebastian,"$38,719,881",-,-,"$38,719,881",100%
On the Basis of Sex,"$38,673,750","$24,622,687",63.70%,"$14,051,063",36.30%
"Crouching Tiger, Hidden Dragon: Sword of Destiny","$38,659,039",-,-,"$38,659,039",100%
The Best of Me,"$38,609,668","$26,766,213",69.30%,"$11,843,455",30.70%
Taxi 5,"$38,598,227",-,-,"$38,598,227",100%
Million Dollar Arm,"$38,483,455","$36,457,627",94.70%,"$2,025,828",5.30%
Chernobyl Diaries,"$38,390,020","$18,119,640",47.20%,"$20,270,380",52.80%
Boruto: Naruto The Movie,"$38,362,448","$919,651",2.40%,"$37,442,797",97.60%
The Lazarus Effect,"$38,356,892","$25,801,570",67.30%,"$12,555,322",32.70%
Don't Be Afraid of the Dark,"$38,269,529","$24,046,682",62.80%,"$14,222,847",37.20%
The Water Diviner,"$38,176,317","$4,196,641",11%,"$33,979,676",89%
Jumping the Broom,"$38,158,601","$37,295,394",97.70%,"$863,207",2.30%
The First Slam Dunk,"$38,123,760",-,-,"$38,123,760",100%
One for the Money,"$38,080,789","$26,414,527",69.40%,"$11,666,262",30.60%
Arashi Anniversary Tour 5 x 20 Film: Record of Memories,"$38,052,695",-,-,"$38,052,695",100%
But Always,"$38,039,248","$430,760",1.10%,"$37,608,488",98.90%
Overcomer,"$38,026,103","$34,746,945",91.40%,"$3,279,158",8.60%
The Eagle,"$37,989,684","$19,490,041",51.30%,"$18,499,643",48.70%
Kokkuri-san: Gekijô-ban,"$37,982,240",-,-,"$37,982,240",100%
For Colored Girls,"$37,981,984","$37,729,698",99.30%,"$252,286",0.70%
Helios,"$37,938,005",-,-,"$37,938,005",100%
Killing Them Softly,"$37,930,465","$15,026,056",39.60%,"$22,904,409",60.40%
The King,"$37,886,707",-,-,"$37,886,707",100%
Hell or High Water,"$37,879,877","$27,007,844",71.30%,"$10,872,033",28.70%
Cold Eyes,"$37,795,598",-,-,"$37,795,598",100%
Mission Milano,"$37,749,848",-,-,"$37,749,848",100%
The Handmaiden,"$37,692,886","$2,006,788",5.30%,"$35,686,098",94.70%
The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
Rurouni Kenshin Part I: Origins,"$37,654,579",-,-,"$37,654,579",100%
Pokémon the Movie: I Choose You!,"$37,552,144","$2,401,722",6.40%,"$35,150,422",93.60%
Fat Buddies,"$37,496,410",-,-,"$37,496,410",100%
A Walk in the Woods,"$37,461,274","$29,504,281",78.80%,"$7,956,993",21.20%
T-34,"$37,410,850",-,-,"$37,410,850",100%
Sarileru Neekevvaru,"$37,389,889","$821,000",2.20%,"$36,568,889",97.80%
Pain and Glory,"$37,359,689","$4,567,338",12.20%,"$32,792,351",87.80%
Snowden,"$37,357,216","$21,587,519",57.80%,"$15,769,697",42.20%
Home Again,"$37,270,721","$27,020,284",72.50%,"$10,250,437",27.50%
"Like Father, Like Son","$37,170,163","$334,616",0.90%,"$36,835,547",99.10%
A Witness Out of the Blue,"$37,092,694",-,-,"$37,092,694",100%
Orphan: First Kill,"$37,083,743","$5,413,227",14.60%,"$31,670,516",85.40%
Till The End Of The World,"$37,013,733","$118,660",0.30%,"$36,895,073",99.70%
Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,-,"$36,964,978",100%
2,"$36,945,969","$4,152,000",11.20%,"$32,793,969",88.80%
Devil's Due,"$36,921,560","$15,821,461",42.90%,"$21,100,099",57.10%
Ex Machina,"$36,869,414","$25,442,958",69%,"$11,426,456",31%
The Adventurers,"$36,796,816","$216,556",0.60%,"$36,580,260",99.40%
New Interpretation Records of the Three Kingdoms,"$36,747,486",-,-,"$36,747,486",100%
Burnt,"$36,606,743","$13,651,946",37.30%,"$22,954,797",62.70%
The Intruder,"$36,599,361","$35,419,122",96.80%,"$1,180,239",3.20%
The Priests,"$36,577,134","$185,093",0.50%,"$36,392,041",99.50%
The Tower,"$36,512,327",-,-,"$36,512,327",100%
Detective Conan: The Lost Ship in the Sky,"$36,407,407",-,-,"$36,407,407",100%
Detective Conan: Private Eye in the Distant Sea,"$36,324,232",-,-,"$36,324,232",100%
Secret Reunion,"$36,298,578",-,-,"$36,298,578",100%
Furry Vengeance,"$36,288,132","$17,630,465",48.60%,"$18,657,667",51.40%
A Most Wanted Man,"$36,233,517","$17,237,855",47.60%,"$18,995,662",52.40%
A Very Harold & Kumar Christmas,"$36,192,775","$35,061,031",96.90%,"$1,131,744",3.10%
Nobunaga Concerto: The Movie,"$36,187,594",-,-,"$36,187,594",100%
Dügün Dernek,"$36,185,741",-,-,"$36,185,741",100%
The Confidence Man JP: Princess,"$36,109,913",-,-,"$36,109,913",100%
The Door Lock,"$36,100,000",-,-,"$36,100,000",100%
Nothing to Lose,"$36,075,317","$1,016,188",2.80%,"$35,059,129",97.20%
Kundo: Age of the Rampant,"$35,941,291","$280,958",0.80%,"$35,660,333",99.20%
Ra.One,"$35,911,689","$2,511,689",7%,"$33,400,000",93%
You Will Meet a Tall Dark Stranger,"$35,867,322","$3,248,246",9.10%,"$32,619,076",90.90%
Doraemon the Movie: The New Records of Nobita's Spaceblazer 2014 Re-release,"$35,861,856",-,-,"$35,861,856",100%
Conquest 1453,"$35,797,045","$35,730",<0.1%,"$35,761,315",99.90%
The New Adventures of Aladdin,"$35,771,820",-,-,"$35,771,820",100%
Heidi,"$35,755,670",-,-,"$35,755,670",100%
"Tad, the Lost Explorer, and the Secret of King Midas","$35,704,046","$5,874",<0.1%,"$35,698,172",100%
Hostiles,"$35,669,017","$29,819,114",83.60%,"$5,849,903",16.40%
The Terror Live,"$35,659,824",-,-,"$35,659,824",100%
Faster,"$35,626,958","$23,240,020",65.20%,"$12,386,938",34.80%
Good Deeds,"$35,579,177","$35,025,791",98.40%,"$553,386",1.60%
The Queen's Corgi,"$35,515,687",-,-,"$35,515,687",100%
Mia and the White Lion,"$35,487,190","$399,471",1.10%,"$35,087,719",98.90%
Arbitrage,"$35,485,056","$7,919,574",22.30%,"$27,565,482",77.70%
Hide and Seek,"$35,461,505",-,-,"$35,461,505",100%
Room,"$35,401,758","$14,677,654",41.50%,"$20,724,104",58.50%
Namiya,"$35,351,623","$70,814",0.20%,"$35,280,809",99.80%
Black Panther 2020 Re-release,"$35,335,665","$367,000",1%,"$34,968,665",99%
Eye in the Sky,"$35,259,653","$18,704,595",53%,"$16,555,058",47%
Les Tuche 2: The American Dream,"$35,210,425",-,-,"$35,210,425",100%
Courageous,"$35,185,884","$34,522,221",98.10%,"$663,663",1.90%
Destiny: The Tale of Kamakura,"$35,166,640",-,-,"$35,166,640",100%
The Girl in the Spider's Web,"$35,164,920","$14,841,338",42.20%,"$20,323,582",57.80%
My Week with Marilyn,"$35,057,696","$14,600,347",41.60%,"$20,457,349",58.40%
The Liquidator,"$35,046,130",-,-,"$35,046,130",100%
Welcome to the North,"$34,995,189",-,-,"$34,995,189",100%
I Fell in Love Like a Flower Bouquet,"$34,975,905",-,-,"$34,975,905",100%
Kingdom II: Harukanaru Daichi e,"$34,963,395",-,-,"$34,963,395",100%
Blind Detective,"$34,958,596",-,-,"$34,958,596",100%
When Marnie Was There,"$34,949,567","$561,085",1.60%,"$34,388,482",98.40%
The Sitter,"$34,942,188","$30,441,326",87.10%,"$4,500,862",12.90%
The Hate U Give,"$34,934,009","$29,719,483",85.10%,"$5,214,526",14.90%
Lost and Love,"$34,930,177","$188,817",0.50%,"$34,741,360",99.50%
Malignant,"$34,892,041","$13,391,791",38.40%,"$21,500,250",61.60%
Secret in Their Eyes,"$34,854,990","$20,180,155",57.90%,"$14,674,835",42.10%
"Dad, Where Are We Going 2","$34,840,000",-,-,"$34,840,000",100%
Chimpanzee,"$34,823,764","$28,972,764",83.20%,"$5,851,000",16.80%
Kidnap,"$34,814,102","$30,971,040",89%,"$3,843,062",11%
Doraemon: Nobita no uchuu eiyuuki,"$34,811,747",-,-,"$34,811,747",100%
Broken City,"$34,737,199","$19,701,164",56.70%,"$15,036,035",43.30%
Endless Love,"$34,718,173","$23,438,250",67.50%,"$11,279,923",32.50%
Jane Eyre,"$34,710,627","$11,242,660",32.40%,"$23,467,967",67.60%
The Kids Are All Right,"$34,705,850","$20,811,365",60%,"$13,894,485",40%
Doraemon The Movie: Nobita's Great Battle of the Mermaid King,"$34,702,573",-,-,"$34,702,573",100%
The Man Standing Next,"$34,664,900","$113,527",0.30%,"$34,551,373",99.70%
Alex Cross,"$34,618,867","$25,888,412",74.80%,"$8,730,455",25.20%
The Extraordinary Adventures of Adèle Blanc-Sec,"$34,604,339",-,-,"$34,604,339",100%
R.A.I.D. Special Unit,"$34,598,750",-,-,"$34,598,750",100%
Salmon Fishing in the Yemen,"$34,564,651","$9,047,981",26.20%,"$25,516,670",73.80%
Haywire,"$34,513,760","$18,942,396",54.90%,"$15,571,364",45.10%
Steve Jobs,"$34,441,873","$17,766,658",51.60%,"$16,675,215",48.40%
Adventures in Zambezia,"$34,428,345",-,-,"$34,428,345",100%
My Mom is a Character 3,"$34,360,029",-,-,"$34,360,029",100%
Warrior of the Hornor,"$34,291,831",-,-,"$34,291,831",100%
Victor Frankenstein,"$34,227,298","$5,775,076",16.90%,"$28,452,222",83.10%
The House,"$34,184,504","$25,584,504",74.80%,"$8,600,000",25.20%
Cirque du Soleil: Worlds Away,"$34,153,101","$12,512,862",36.60%,"$21,640,239",63.40%
The Bob's Burgers Movie,"$34,148,750","$31,933,830",93.50%,"$2,214,920",6.50%
The Battle: Roar to Victory,"$34,148,707",-,-,"$34,148,707",100%
Black & White: The Dawn of Justice,"$34,146,896",-,-,"$34,146,896",100%
The Bad Guys: The Movie,"$34,024,386","$166,972",0.50%,"$33,857,414",99.50%
"My Love, Don't Cross That River","$34,012,261",-,-,"$34,012,261",100%
The Witness,"$33,963,557","$418,063",1.20%,"$33,545,494",98.80%
Doraemon the Movie: Nobita's New Dinosaur,"$33,942,341",-,-,"$33,942,341",100%
Camping 2,"$33,857,735",-,-,"$33,857,735",100%
The Good Liar,"$33,856,058","$17,156,058",50.70%,"$16,700,000",49.30%
Don't Go Breaking My Heart 2,"$33,801,759",-,-,"$33,801,759",100%
Hunt,"$33,800,203","$25,994",<0.1%,"$33,774,209",99.90%
The Art of Racing in the Rain,"$33,766,787","$26,395,642",78.20%,"$7,371,145",21.80%
I Want to Eat Your Pancreas,"$33,748,006","$277,019",0.80%,"$33,470,987",99.20%
Deliver Us from Evil,"$33,718,703",-,-,"$33,718,703",100%
Nobody's Fool,"$33,705,333","$31,713,110",94.10%,"$1,992,223",5.90%
The Invitation,"$33,700,080","$25,100,080",74.50%,"$8,600,000",25.50%
The Skin I Live In,"$33,678,406","$3,185,812",9.50%,"$30,492,594",90.50%
Three Heroes on Distant Shores,"$33,674,759",-,-,"$33,674,759",100%
Gantz: Perfect Answer,"$33,672,515",-,-,"$33,672,515",100%
Punch,"$33,556,725",-,-,"$33,556,725",100%
Arthur 3: The War of the Two Worlds,"$33,519,334",-,-,"$33,519,334",100%
2016: Obama's America,"$33,449,086","$33,449,086",100%,-,-
Get on Up,"$33,448,971","$30,703,100",91.80%,"$2,745,871",8.20%
The Perks of Being a Wallflower,"$33,384,127","$17,742,948",53.10%,"$15,641,179",46.90%
Girls,"$33,325,338",-,-,"$33,325,338",100%
Licorice Pizza,"$33,269,800","$17,318,007",52.10%,"$15,951,793",47.90%
Perfect Strangers,"$33,262,366","$1,014,507",3.10%,"$32,247,859",96.90%
Brightburn,"$33,224,654","$17,300,439",52.10%,"$15,924,215",47.90%
Project Almanac,"$33,213,241","$22,348,241",67.30%,"$10,865,000",32.70%
Bharat,"$33,185,983","$2,971,549",9%,"$30,214,434",91%
Baaghi 2,"$33,139,063","$1,319,579",4%,"$31,819,484",96%
Dogwood Tree,"$33,016,351",-,-,"$33,016,351",100%
Lockout,"$32,948,113","$14,326,864",43.50%,"$18,621,249",56.50%
Inside Llewyn Davis,"$32,935,319","$13,235,319",40.20%,"$19,700,000",59.80%
Sleepless,"$32,917,353","$20,783,704",63.10%,"$12,133,649",36.90%
Respect,"$32,882,823","$24,278,399",73.80%,"$8,604,424",26.20%
Serial Teachers,"$32,849,727",-,-,"$32,849,727",100%
Hindi Medium,"$32,841,493",-,-,"$32,841,493",100%
Bait,"$32,813,407",-,-,"$32,813,407",100%
The Crossing,"$32,806,475",-,-,"$32,806,475",100%
Fly Me to the Saitama,"$32,802,347",-,-,"$32,802,347",100%
Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
Old Boys: The Way of the Dragon,"$32,800,000",-,-,"$32,800,000",100%
Steel Rain,"$32,783,733",-,-,"$32,783,733",100%
Part of Me,"$32,726,956","$25,326,071",77.40%,"$7,400,885",22.60%
Leap Year,"$32,686,500","$25,918,920",79.30%,"$6,767,580",20.70%
Mud,"$32,613,173","$21,590,086",66.20%,"$11,023,087",33.80%
BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
The Hurricane Heist,"$32,517,248","$6,115,825",18.80%,"$26,401,423",81.20%
Midsummer's Equation,"$32,514,549",-,-,"$32,514,549",100%
Nameless Gangster: Rules of the Time,"$32,472,645",-,-,"$32,472,645",100%
UglyDolls,"$32,450,241","$20,150,241",62.10%,"$12,300,000",37.90%
Movie 43,"$32,438,988","$8,840,453",27.30%,"$23,598,535",72.70%
The House That Never Dies II,"$32,433,588",-,-,"$32,433,588",100%
Stuber,"$32,390,945","$22,370,452",69.10%,"$10,020,493",30.90%
Detective K: Secret of Virtuous Widow,"$32,358,664",-,-,"$32,358,664",100%
Hit Me Anyone One More Time!,"$32,333,512",-,-,"$32,333,512",100%
Kevin Hart: Let Me Explain,"$32,318,051","$32,244,051",99.80%,"$74,000",0.20%
Potiche,"$32,309,881","$1,618,844",5%,"$30,691,037",95%
Pokémon,"$32,293,377",-,-,"$32,293,377",100%
Masquerade Night,"$32,287,400",-,-,"$32,287,400",100%
Seven Psychopaths,"$32,226,382","$15,024,049",46.60%,"$17,202,333",53.40%
Somewhere Winter,"$32,218,990",-,-,"$32,218,990",100%
Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
The After-Dinner Mysteries,"$32,160,741",-,-,"$32,160,741",100%
The Kid Who Would Be King,"$32,140,970","$16,790,790",52.20%,"$15,350,180",47.80%
You Again,"$32,054,369","$25,702,053",80.20%,"$6,352,316",19.80%
Two Tigers,"$32,001,580",-,-,"$32,001,580",100%
Os Dez Mandamentos - O Filme,"$31,998,251",-,-,"$31,998,251",100%
Dilwale,"$31,994,323","$4,871,263",15.20%,"$27,123,060",84.80%
Suffragette,"$31,972,096","$4,702,420",14.70%,"$27,269,676",85.30%
The Floating Castle,"$31,967,471",-,-,"$31,967,471",100%
The Neighbors,"$31,949,315",-,-,"$31,949,315",100%
All About Me,"$31,920,159",-,-,"$31,920,159",100%
Bounty Hunters,"$31,918,573",-,-,"$31,918,573",100%
Bad Times at the El Royale,"$31,882,724","$17,839,115",56%,"$14,043,609",44%
Tinker Bell and the Legend of the NeverBeast,"$31,836,701",-,-,"$31,836,701",100%
The Dream Team,"$31,822,402",-,-,"$31,822,402",100%
Self/less,"$31,807,156","$12,279,691",38.60%,"$19,527,465",61.40%
Underdogs,"$31,775,719",-,-,"$31,775,719",100%
Spring Breakers,"$31,724,284","$14,124,284",44.50%,"$17,600,000",55.50%
Beautiful Boy,"$31,711,319","$7,649,973",24.10%,"$24,061,346",75.90%
Hunter Killer,"$31,672,678","$15,767,460",49.80%,"$15,905,218",50.20%
New World,"$31,670,607","$457,806",1.40%,"$31,212,801",98.60%
Ae Dil Hai Mushkil,"$31,668,920","$4,264,983",13.50%,"$27,403,937",86.50%
Anna,"$31,626,978","$7,743,794",24.50%,"$23,883,184",75.50%
Super Troopers 2,"$31,626,386","$30,617,396",96.80%,"$1,008,990",3.20%
Shin Ultraman,"$31,523,533",-,-,"$31,523,533",100%
The Four 3,"$31,521,335",-,-,"$31,521,335",100%
Bodyguard,"$31,516,209","$1,834,384",5.80%,"$29,681,825",94.20%
The Thing,"$31,505,287","$16,928,670",53.70%,"$14,576,617",46.30%
Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,501,815",-,-,"$31,501,815",100%
I Don't Know How She Does It,"$31,410,151","$9,662,284",30.80%,"$21,747,867",69.20%
Assassination Classroom: The Graduation,"$31,352,921",-,-,"$31,352,921",100%
"All's Well, Ends Well 2011","$31,335,572",-,-,"$31,335,572",100%
What's in a Name?,"$31,303,580","$8,111",<0.1%,"$31,295,469",100%
101 Proposals,"$31,283,838",-,-,"$31,283,838",100%
Tazza: The Hidden Card,"$31,278,476","$251,555",0.80%,"$31,026,921",99.20%
Perfect Strangers,"$31,254,929",-,-,"$31,254,929",100%
Amsterdam,"$31,245,810","$14,947,969",47.80%,"$16,297,841",52.20%
Saving Mr. Wu,"$31,222,161","$92,696",0.30%,"$31,129,465",99.70%
Honest Thief,"$31,220,247","$14,163,574",45.40%,"$17,056,673",54.60%
The Invisible Guest,"$31,191,910",-,-,"$31,191,910",100%
My Dear Liar,"$31,177,968","$90,545",0.30%,"$31,087,423",99.70%
Joyful Noise,"$31,158,113","$30,932,113",99.30%,"$226,000",0.70%
Mrs. Brown's Boys D'Movie,"$31,116,264",-,-,"$31,116,264",100%
Premium Rush,"$31,083,599","$20,275,446",65.20%,"$10,808,153",34.80%
The Wild Goose Lake,"$31,064,835","$12,573",<0.1%,"$31,052,262",100%
Wild Tales,"$31,061,476","$3,106,530",10%,"$27,954,946",90%
The Strangers: Prey at Night,"$31,039,126","$24,586,708",79.20%,"$6,452,418",20.80%
Vysotsky. Thank You for Being Alive,"$31,016,553",-,-,"$31,016,553",100%
This Is Not What I Expected,"$30,996,615","$337,670",1.10%,"$30,658,945",98.90%
Silenced,"$30,996,130",-,-,"$30,996,130",100%
Playing for Keeps,"$30,962,335","$13,103,272",42.30%,"$17,859,063",57.70%
Tad the Lost Explorer and the Emerald Tablet,"$30,956,140","$67,599",0.20%,"$30,888,541",99.80%
Rise of the Legend,"$30,932,534",-,-,"$30,932,534",100%
Billy Lynn's Long Halftime Walk,"$30,930,984","$1,738,477",5.60%,"$29,192,507",94.40%
Pandora,"$30,896,701",-,-,"$30,896,701",100%
Gintama 2: Rules are Made to be Broken,"$30,896,653",-,-,"$30,896,653",100%
The Little Things,"$30,863,426","$15,342,746",49.70%,"$15,520,680",50.30%
African Cats,"$30,857,747","$15,428,747",50%,"$15,429,000",50%
The Unholy,"$30,832,137","$15,532,137",50.40%,"$15,300,000",49.60%
Attack on Titan Part 1,"$30,810,658","$449,523",1.50%,"$30,361,135",98.50%
Winter's Tale,"$30,800,231","$12,600,231",40.90%,"$18,200,000",59.10%
Norm of the North,"$30,734,502","$17,062,499",55.50%,"$13,672,003",44.50%
Carnage,"$30,722,632","$2,547,047",8.30%,"$28,175,585",91.70%
A Man Called Ove,"$30,692,889","$3,479,315",11.30%,"$27,213,574",88.70%
A Wedding Invitation,"$30,665,036","$14,350",<0.1%,"$30,650,686",100%
When the Bough Breaks,"$30,658,387","$29,747,603",97%,"$910,784",3%
The Last Warrior,"$30,618,274",-,-,"$30,618,274",100%
The Last Duel,"$30,552,111","$10,853,945",35.50%,"$19,698,166",64.50%
A Dangerous Method,"$30,519,436","$5,704,709",18.70%,"$24,814,727",81.30%
The Four,"$30,505,808",-,-,"$30,505,808",100%
What's Your Number?,"$30,426,096","$14,011,084",46%,"$16,415,012",54%
Like a Boss,"$30,399,490","$22,169,514",72.90%,"$8,229,976",27.10%
S Storm,"$30,381,402",-,-,"$30,381,402",100%
The Way of the Bug,"$30,355,804",-,-,"$30,355,804",100%
Nocturnal Animals,"$30,311,857","$10,663,357",35.20%,"$19,648,500",64.80%
Doraemon: Nobita and the New Steel Troops: ~Winged Angels~,"$30,236,973",-,-,"$30,236,973",100%
Far from the Madding Crowd,"$30,229,977","$12,236,500",40.50%,"$17,993,477",59.50%
Eternal Moment,"$30,186,159",-,-,"$30,186,159",100%
The Grand Heist,"$30,158,762",-,-,"$30,158,762",100%
A Silent Voice: The Movie,"$30,156,463","$310,407",1%,"$29,846,056",99%
